Elevation_deg,PathLoss_dB,SINR_dB,Band
68.15642458100558,154.67516449619208,-12.815170207465641,S-Band (2 GHz)
68.63128491620111,154.64926123343668,-12.789266944710235,S-Band (2 GHz)
69.10614525139665,154.62396848568756,-12.763974196961115,S-Band (2 GHz)
69.58100558659218,154.5992833850582,-12.739289096331746,S-Band (2 GHz)
70.05586592178771,154.57520314193954,-12.715208853213099,S-Band (2 GHz)
70.53072625698324,154.5517250440098,-12.69173075528336,S-Band (2 GHz)
71.00558659217877,154.52884645527197,-12.668852166545534,S-Band (2 GHz)
71.4804469273743,154.50656481511936,-12.646570526392921,S-Band (2 GHz)
71.95530726256983,154.48487763742781,-12.624883348701374,S-Band (2 GHz)
72.43016759776536,154.46378250967578,-12.60378822094934,S-Band (2 GHz)
72.90502793296089,154.44327709209023,-12.583282803363787,S-Band (2 GHz)
73.37988826815642,154.42335911681954,-12.5633648280931,S-Band (2 GHz)
73.85474860335195,154.4040263871322,-12.544032098405765,S-Band (2 GHz)
74.32960893854748,154.38527677664155,-12.525282487915106,S-Band (2 GHz)
74.80446927374301,154.36710822855545,-12.507113939829011,S-Band (2 GHz)
75.27932960893855,154.34951875495202,-12.489524466225575,S-Band (2 GHz)
75.75418994413408,154.33250643607954,-12.4725121473531,S-Band (2 GHz)
76.22905027932961,154.3160694196812,-12.456075130954773,S-Band (2 GHz)
76.70391061452514,154.30020592034435,-12.440211631617913,S-Band (2 GHz)
77.17877094972067,154.28491421887375,-12.424919930147311,S-Band (2 GHz)
77.6536312849162,154.2701926616885,-12.410198372962057,S-Band (2 GHz)
78.12849162011173,154.25603966024272,-12.39604537151628,S-Band (2 GHz)
78.60335195530726,154.24245369046935,-12.382459401742906,S-Band (2 GHz)
79.07821229050279,154.22943329224734,-12.369439003520895,S-Band (2 GHz)
79.55307262569832,154.21697706889123,-12.356982780164785,S-Band (2 GHz)
80.02793296089385,154.20508368666358,-12.345089397937144,S-Band (2 GHz)
80.50279329608938,154.19375187430984,-12.333757585583399,S-Band (2 GHz)
80.97765363128491,154.18298042261534,-12.322986133888904,S-Band (2 GHz)
81.45251396648045,154.1727681839841,-12.31277389525765,S-Band (2 GHz)
81.92737430167598,154.16311407203963,-12.303119783313193,S-Band (2 GHz)
82.40223463687151,154.15401706124723,-12.29402277252079,S-Band (2 GHz)
82.87709497206704,154.14547618655774,-12.285481897831303,S-Band (2 GHz)
83.35195530726257,154.13749054307252,-12.277496254346076,S-Band (2 GHz)
83.8268156424581,154.1300592857294,-12.270064997002962,S-Band (2 GHz)
84.30167597765363,154.12318162901008,-12.263187340283636,S-Band (2 GHz)
84.77653631284916,154.11685684666745,-12.256862557941005,S-Band (2 GHz)
